"Amundsen, PA., Lafferty, K.D., Knudsen, R., Primicerio, R., Kristoffersen, R., Klemetsen, A., and Kuris, A.M. (2013). New parasites and predators follow the introduction of two fish species to a subarctic lake: implications for food-web structure and functioning. Oecologia. 171, pp. 993-1002.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"see also: Amundsen, P-A., Lafferty, K.D., Knudsen, R., Primicerio, R., Klemetesen, A., and Kuris, A.M. (2009). Food web topology and parasites in the pelagic zone of a subarctic lake. Journal of Animal Ecology. 78, pp. 563-572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised pelagic post-introduction food web (summer) - Lake Takvatn - northern Norway,Asterionella formosa,Cyclotella kützingiana,Cyclotella comensis,Stephanodiscus medius,Chrysomonads,Ceratium hirundinella,Gymnodinium helveticum,Elakatothrix genevensis,Keratella cochelearis,Kellicottia longispina,Conochilus unicornis,Ascomorpha sp.,Polyarthra sp.,Filinia sp.,Synchaeta sp.,Asplanchna pridonta,Bosmina longispina,Bosmina longirostris,Daphnia galeata,Holopedium gibberum,Polyphemus pediculus,Cyclops scutifer,Eudiaptomus graciloides,Heterocope appendiculata,Acanthocyclops gigas,Gasterosteus aculeatus,Salvelinus alpinus,Salmo trutta,Larus canus,Sterna paradisaea,Mergus serrator,Aythya fuligula,Bucephala clangula,Melanitta nigra,Gavia arctica,Gavia stellata,Clangula hyemalis,Salmincola edwardsii,Diphyllobothrium dendriticum ,Diphyllobothrium ditremum ,Eubothrium crassum ,Eubothrium salvelini ,Proteocephalus sp. ,Schistocephalus solidus ,Philonema oncorhynchi ,Gyrodactylus arcuatus (Bychowski 1957),Fungi (phytoplankton),Fungi Rotiferophthora,Coelomomyces (Fungi),Saprolegnia
Conochilus unicornis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4.1,4.1,4.1,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0,0
Ascomorpha sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4.1,4.1,4.1,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0,0
Polyarthra sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4.1,4.1,4.1,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0,0
Filinia sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4.1,4.1,4.1,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0,0
Synchaeta sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4.1,4.1,4.1,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0,0
Asplanchna pridonta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0,0
Bosmina longispina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,4.1,0,4.1,4.1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosmina longirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,4.1,4.1,0,4.1,4.1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daphnia galeata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
Holopedium gibberum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyphemus pediculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclops scutifer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,5.1,4.1,4.1,4.1,4,4,4.2,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,0,0,0,0,14,0
Eudiaptomus graciloides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,4.1,5.1,4.1,4.1,4,4,4.2,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,0,0,0,0,14,0
Heterocope appendiculata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,4.1,0,5.1,4.1,4,4,4.1,0,0,0,0,0,0,0,0,0,0,11.1,11.1,11.1,11.1,0,0,11.1,0,0,0,14.3,0
Acanthocyclops gigas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,4,4,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,11.1,0,0,0,14.3,0
Gasterosteus aculeatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4.1,4.1,4.1,4,4,4,0,12,12,12,0,13,12,0,14,0,0,0,14
Salvelinus alpinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,4,0,0,0,4,4,4.2,14,12,12,0,13,13,0,13,0,0,0,0,14
Salmo trutta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,4.1,0,0,12,12,13,0,13,0,0,0,0,0,0,14
Larus canus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0
Sterna paradisaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0
Mergus serrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,0,0,0
Aythya fuligula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0
Bucephala clangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0
Melanitta nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0
Gavia arctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13.1,0,0,0,0,0,0
Gavia stellata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13.1,0,0,0,0,0,0
Clangula hyemalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0
Salmincola edwardsii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Diphyllobothrium dendriticum ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,7,8,8,8,8,8,8,8,8,8,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Diphyllobothrium ditremum ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,7,8,8,8,7,7,8,7,7,7,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubothrium crassum ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,7,8,7,8,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubothrium salvelini ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,7,8,7,7,7,7,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteocephalus sp. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,8,8,8,8,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Schistocephalus solidus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,7,8,7,7,8,8,8,7,7,7,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Philonema oncorhynchi ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,8,7,8,7,7,7,7,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Gyrodactylus arcuatus (Bychowski 1957),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungi (phytoplankton),0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fungi Rotiferophthora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,0,0,7.3,7.3,7.3,7.3,7.3,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coelomomyces (Fungi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saprolegnia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
