AphiaID	ScientificName	DrID	Source	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
100839	Actinostola callosa	769097	"Pr̩fontaine, G. & P. Brunel. (1962). Liste d'invert̩br̩s marins recueillis dans l'estuaire du Saint-Laurent de 1929 �� 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1."	Animalia	Cnidaria	Anthozoa	Actiniaria	Actinostolidae	Actinostola		callosa	
140629	Adalaria proxima	774828	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Mollusca	Gastropoda	Nudibranchia	Onchidorididae	Adalaria		proxima	
138969	Admete viridula	774779	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Mollusca	Gastropoda	Neogastropoda	Cancellariidae	Admete		viridula	
138969	Admete viridula	769510	"Pr̩fontaine, G. & P. Brunel. (1962). Liste d'invert̩br̩s marins recueillis dans l'estuaire du Saint-Laurent de 1929 �� 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1."	Animalia	Mollusca	Gastropoda	Neogastropoda	Cancellariidae	Admete		viridula	
118827	Aega psora	774465	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Arthropoda	Malacostraca	Isopoda	Aegidae	Aega		psora	
101820	Aeginina longicornis	774244	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	Aeginina		longicornis	
117265	Aeginopsis laurentii	774436	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Cnidaria	Hydrozoa	Narcomedusae	Aeginidae	Aeginopsis		laurentii	
138709	Aeolidia papillosa	774759	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Mollusca	Gastropoda	Nudibranchia	Aeolidiidae	Aeolidia		papillosa	
138709	Aeolidia papillosa	769489	"Pr̩fontaine, G. & P. Brunel. (1962). Liste d'invert̩br̩s marins recueillis dans l'estuaire du Saint-Laurent de 1929 �� 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1."	Animalia	Mollusca	Gastropoda	Nudibranchia	Aeolidiidae	Aeolidia		papillosa	
117849	Aglantha digitale	774449	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	Aglantha		digitale	
117849	Aglantha digitale	769269	"Pr̩fontaine, G. & P. Brunel. (1962). Liste d'invert̩br̩s marins recueillis dans l'estuaire du Saint-Laurent de 1929 �� 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1."	Animalia	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	Aglantha		digitale	
157145	Aglaophamus circinata	774937	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus		circinata	
157145	Aglaophamus circinata	749016	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus		circinata	
157145	Aglaophamus circinata	749370	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus		circinata	
130344	Aglaophamus malmgreni	774645	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus		malmgreni	
157146	Aglaophamus neotenus	749371	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus		neotenus	
157146	Aglaophamus neotenus	749017	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus		neotenus	
136340	Akanthophoreus gracilis	774755	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Arthropoda	Malacostraca	Tanaidacea	Akanthophoreidae	Akanthophoreus		gracilis	
136340	Akanthophoreus gracilis	749476	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Arthropoda	Malacostraca	Tanaidacea	Akanthophoreidae	Akanthophoreus		gracilis	
136340	Akanthophoreus gracilis	749122	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Arthropoda	Malacostraca	Tanaidacea	Akanthophoreidae	Akanthophoreus		gracilis	
